Text,sentiment
I gave this to my sister-in-law for her birthday and she loved it!! She called 1 day after she got it and had already tried 3 of the 4 teas.  She really liked them all!  The infuser worked great for her and didn't seem to let any leaves flow through it.  She loved the fact that the top of the infuser could be used as a coaster for the infuser itself and can't wait to use it on other loose leaf teas!,positive
"My premie were on this for 3 weeks and Mylicon, no improvement, I'm sure different babies have different reaction to formula, but this didn't work for mine at all.",negative
"I was really hoping this would be as good as it sounds, but it was a big disappointment.  Neither my children nor myself could drink it.",negative
"This syrup is as fake as they come. There is absolutely nothing in it that has to do with a real raspberry fruit, not even remotely.<br />It tastes horrible, it smells a little bit better, it is full of bright red dye. Sugar free version has a weird aftertaste, though I have not tried a regular one in order to compare two.<br />If you care about what you consume, do not buy this. If I were told that for the rest of my life I cannot use sugar or use this in my drinks or as a food topping, I would go sugar free.<br />It is a pathetic excuse for a raspberry syrup. Honestly, a food for hummingbirds I bought earlier (Mills Brothers Hummingbird Food) has better ingredients and smells better than this.<br /><br />I cannot wait for the regulation agencies to enforce some kind of a standard for food related purchases made online.<br />To begin with, every product should clearly list all ingredients from the label (or having a photo of the back side of the label would be sufficient too).<br />Then, going step further, I would want all food companies to show % of every ingredient used in their products.<br />There is a reason why every 3rd American is considered to be obese. There is a reason why there are so many people with diabetes and other diseases. From 1980 through 2010, the crude prevalence of diagnosed diabetes increased by 176%(!). It is what we consume. Lately, we consume pretty much preservatives and different dyes while food companies shamelessly pocket extra profit.<br /><br />Ingredients for this DaVinci Raspberry syrup are<br />water, natural flavor, cellulose gum, sucralose (splenda brand), sodium benzoate (preservative), citric acid, red 40, blue 1<br /><br />The front label states ""Sugar free Raspberry Syrup Naturally flavored with other natural flavor."" You can add an extra line and write ""which has nothing to do with raspberries or anything natural"".<br /><br />All 3 bottles will go straight to the garbage. A costly mistake to make, but I cannot blame anyone but myself for buying this syrup without finding out what it consisted of.",negative
"I don't drink coffee every day, more like once or twice a week, and when I do I prefer a mild cup of coffee. I like good flavor but not too bold, and not bitter. Basically, I would opt for a Dunkin before a Starbucks, just to give you an idea of what I normally drink as I review Marley One Love Coffee.<br /><br />The box contains 15 single serving pods, individually sealed in foil. Each pod contains about 1/3 of an ounce of coffee. They are very convenient for storage or taking on the road. The cardboard box has a cutout near the bottom to easily dispense the pods (or you can just open the box from the top). The coffee is advertised as ""100% Ethiopian Yirgacheffe.""<br /><br />I typically make my coffee in a Keurig or a standard coffee maker/filter. I tried One Love four ways, ONLY ONE OF WHICH IS THE RECOMMENDED USE, as the coffee is advertised as ""for use only in single serve home coffee pod brewers"". Why did I order this coffee without said pod brewer? When I travel I find more and more hotels have pod brewers, so I am interested in a good coffee to use on the road. Anyway, I made the coffee:<br /><br />1) In a single serve brewer, a Black and Decker Brew N Go,<br />2) By filling a Keurig reusable K-Cup/filter.<br />2) In my standard coffee maker, a Braun, using the pods in the same amount/weight as I would any loose coffee.<br />3) Steeping a pod in a coffee mug, approximately 7 1/2 ounces in size.<br /><br />Unlike many coffees, where I think ""Wow that smells really good"", only to be disappointed by the flavor, Marley One Love hit me just the opposite. When I smelled the unused pod, as well as the brewing coffee, I thought ""Hmmm, that doesn't smell too great."" But wow, the result is a really nice cup of coffee. One Love is not at all bitter, and I wouldn't even call it bold. It is mild to medium in taste, while not being weak at all. I found I got the best results using it in the Keuring or regular coffee makers. Steeping it was OK, but it was somewhat weaker that way.<br /><br />I would get this coffee again, either loose in the bag or in pods.",positive
"Decaf . . yes, usually it just has a different taste.  However, this brand.. it has a smooth texture and I can't taste the difference from full octane.  I've even switched it out on my husband... who is not a fan of decaf.. and he couldn't tell.  Give it a try !",positive
"I use a tremendous amount of these for quiches and pasta salads. The smaller hearts tend to be a bit softer than the larger ones which start to become tough. You don't know until you bite into it.<br /><br />We were paying over $4 per can or $6 per pound on the Mediterranean food bar at the grocery store for these hearts and were very pleased with the product and the price from Amazon.<br /><br />One thing that pleased me about this brand is that they taste less salty than some other brands I've tried, so you get to taste more of the vegetable and less of the brine.<br /><br />These are not the marinated variety, just brine-soaked.",positive
I expected a little more coconut flavor and a little less dark chocolate....but overall a nice flavored coffee.,positive
"These are a bit sweeter than I was expecting, but since I mostly eat them with unsweetened tea, that's ok.  They're certainly no sweeter than other grahams, but I guess because of the health orientation I was expecting less sugar.  We do like the taste, which definitely includes some cinnamon.<br /><br />You will notice a difference compared to something like Nabisco Honey-Maid.  Such crackers will easily dissolve in your mouth; these whole-grain grahams remain crackers a bit longer.  It is still true that if you dunk them in hot tea they will soon break off and head for the bottom of the cup, but it isn't quite as immediate.  There is a certain graininess to them because of the whole grains; for me, that makes them more interesting, but if you or your kids prefer white bread over whole-grain bread because of the texture, then you might not like these.  And if you eat them plain, they taste dryer because they don't melt in your mouth as quickly as the ones without whole grains.<br /><br />It's hard to compare the nutritional info of these to Honey Maid directly because what they consider a serving size is somewhat different, and the values are rounded.  It looks like the main differences are that<br /> - these have more fiber, perhaps twice as much<br /> - these have significantly less sodium, and a lot of potassium<br /> - these have less saturated fat (although the fat breakdown doesn't add up to the total, so it seems like something is wrong with the figures)<br /><br />The price per ounce for these is currently about twice as the subscription price per ounce for Honey Maid on Amazon.<br /><br />Bottom line: if you are trying to be healthier and you like graham crackers, these are worth a try.",positive
"So I got a case of this stuff because I was curious as to what clementine juice might taste like. I got it, took a swig...and found it to be OK, if a little odd...I then looked at the side of the can to see how much clementine juice is in the can. Here is, verbatim, the ingredients list:<br /><br />""Pure juice made from white grape, apple, lemon and orange juice concentrates, sparkling water, natural flavor, citric acid, sodium citrate, gum arabic, beta carbotene (color), ascorbic acid (vitamic C),  glycerol ester or rosin, niacinamide, pyridoxine hydrochloride (vitimin B6).""<br /><br />See anything odd about that ingredients list? Look carefully...What's missing? How about clementine juice?!!? Not a spec of it. Talk about smoke and mirrors. ""All natural""? Maybe. But lots of cheap juice and none of the namesake? Give me a break. I've been had. Don't make the same mistake.",negative
